Performance Test Run,"GIT_Testing [Dec 21, 2017 at 08:03:47 AM IST]"
Run Start Time,2017-12-21T08:03:47IST
Time Range,Entire Run
Node,All Host
Agent,Performance Statistics
Test Name,GIT_Testing
User Comment,
,
Pages->InCacheSkipped->TotalPageElementsInCacheSkippedForInterval->Cumulated->Count,0
Pages->ResponseCacheHit->PercentCacheHitsAllPageElementsInterval->Cumulated->Percent,
Pages->RequestCacheAttempt->TotalPageElementsRequestCacheAttemptsForInterval->Cumulated->Count,0
Run->Active Users->Cumulated->Increment,0
Pages->Hits->Total Page Element Hits For Interval->Rate,0.0
Pages->InCacheSkipped->TotalPageElementsInCacheSkippedForInterval->Cumulated->Rate,0.0
Pages->Response Time->Average Response Time For All Page Elements For Interval->Mean,
Pages->Attempts->Total Page Element Attempts For Interval->Rate,0.0
Pages->InCacheSkipped->PercentInCacheSkippedAllPageElementsInterval->Cumulated->Percent,0.0
Pages->ResponsePushed->PercentResponsePushedForInterval->Cumulated->Percent,0.0
Pages->ResponsePushed->TotalResponsePushedForInterval->Cumulated->Count,0
Pages->ResponseCacheHit->TotalPageElementsResponseCacheHitsForInterval->Cumulated->Count,0
Pages->Redirections->TotalPageElementRedirectionsForInterval->Cumulated->Count,0
Pages->Attempts->Total Page Element Attempts For Interval->Cumulated->Rate,0.84
Run->Completed Users->Cumulated->Increment,2
Pages->InCacheSkipped->TotalPageElementsInCacheSkippedForInterval->Rate,0.0
Run->Total Users->Cumulated->Increment,2
Pages->ResponseCacheMiss->TotalPageElementsResponseCacheMissesForInterval->Cumulated->Count,0
Pages->Redirections->TotalPageElementRedirectionsForInterval->Cumulated->Rate,0.0
Pages->Hits->Total Page Element Hits For Interval->Cumulated->Rate,0.84
Pages->Attempts->Total Page Element Attempts For Interval->Cumulated->Count,168
Pages->Response Time->Average Response Time For All Page Elements For Interval->Cumulated->Mean,2329.2619047619046
Pages->Redirections->TotalPageElementRedirectionsForInterval->Rate,0.0

